city_name,city_code
Петропавловск,PPK
Пенанг,PEN
,LTU
Качоэйро-Итапемирим,CDI
Банданаира,NDA
Посо,PSJ
Париж,PAR
Мельбурн,MEL
Себу,CEB
,XGX
Пайн Ридж,XPR
Арбеохос,AJS
Синьчжу,HSZ
Кекертак,PQT
Хьюго,HUJ
Пуас,PUA
Запад Купарек,XPU
Сиокон,XSO
Хайдаберг,HYG
Бориди,BPB
Шлеф,CFK
Азебрук,HZB
Бангалор,BLR
Мэрисвилл,MYV
Росс Ривер,XRR
Монтгомери,MGM
Иаура,IAU
Буол,UOL
Мороак,MRT
Ноглики,NGK
Сеул,SEL
Аликанте,ALC
Миноккуа,ARV
Индалкана,IDK
Сант Петер,PSH
Афины,ATH
Читтагонг,CGP
Гавана,HAV
Наргана,NGN
Коркоран,CRO
Ковари,CWR
Альменара,AMJ
Ибица,IBZ
Вена,VIE
Шингети,CGT
Икике,IQQ
Лхаса,LXA
Накхонситхаммарат,NST
Чуатбалук,CHU
Кэрнс,CNS
Мананг,NGX
Форт-Франсес,YAG
Паро,PBH
Анталахи,ANM
Кайе-Шапел,CYC
Бирао,IRO
Лагранде 4,YAH
Патуксент Ривер,NHK
Аньшань,AOG
Ломбок,LOP
Эйприл-Ривер,APR
Мэпл Бэй,YAQ
Портервилл,PTV
Хива-Оа,AUQ
Купер Лодж,JLA
Каттиник,YAU
Нункан,NNX
Мбомбела,NLP
Ллойдминстер,YLL
Балала,BAS
Мануму,UUU
Крейг,CIG
Майнерс Бэй,YAV
Кордова,CDV
Питалито,PTX
,CLW
Сейнт Энтони,YAY
Йёнчёпинг,JKG
Нью-Мун,NMP
Маршалл,ASL
Джексонвилл,JKV
Акиак,AKI
Пласервилл,PVF
Телеграф Харбор,YBQ
Сагеней,YBG
Сапала,APZ
Монтепвезе,MTU
Боннивилл,YBY
Хатчет Лейк,YDJ
Нумеа,NOU
Кайсумах,AQI
Шербрук,YSC
Аплтон,ATW
Йошкар-Ола,JOK
Досон-Крик,YDQ
Шоле,CET
Нарьян-Мар,NNM
Кросс Лейк,YCR
Иерусалим,JRS
Сибу,SBW
Абаианг,ABF
Виллагарзьон,VGZ
Кливленд,CLE
,ZIR
Снейк,YXF
Кулиба,COB
Саратов,RTW
Джессор,JSR
Санта Тересита,SST
Арктик Виллидж,ARC
Фернанду-ди-Норонья,FEN
Сан-Фелипе,SFH
,XEK
Астипалея,JTY
Раканда,RAA
Док Крик,YDX
Сьенфуэгос,CFG
Натадола,NTA
Сан-Луис-Потоси,SLP
Эрншёльдсвик,OER
Хьюстон,HOU
Кокоа,COI
Шелтон,SHN
Оканья,OCV
Куперстаун,COP
Рехобот Бич,REH
Кокимбо,COW
Трапани,TPS
Чилас,CHB
Йечеон,YEC
Кубер-Педи,CPD
Ратьзя,VKG
Сантандер,SDR
Одиенне,KEO
Бафуссама,BFX
Ясуж,YES
Кунгум,KGM
Инувик,YEV
Берлингтон,BRL
Рева,REW
Капе-Родней,CPN
Сьюард,SWD
Валлеми,VMI
Кале,CQF
Курурупу,CPU
Вангэндрано,VND
,YNX
Кулебра,CPX
Онджива,VPE
Кулджера,KGR
Аур,AUL
Бруней,BWN
Грейлинг,KGX
Куршевель,CVF
Силистра,SLS
Рутланд Плейнс,RTP
Хвай Ривер Лодж,KHW
Ати,ATV
Агаун,AUP
Кимберли,KIM
Кассала,KSL
Остров Сент-Мари,SMS
Саргодха,SGI
Киунга,KIU
Кортрейк,KJK
Икалуит,YFB
Чанчжи,CIH
Колларенбри,CRB
Шаншере,AXE
Керама,KJP
Самос,SMI
Сиглюфьордюр,SIJ
Кап-Скирринг,CSK
Корпус-Кристи,CRP
Аякучо,AYC
Коюк,KKA
Сингапур,SIN
Киркенес,KKN
Фредериктон,YFC
,CSM
Басонго,BAN
Нью Стуиахок,KNW
Чебоксары,CSY
Порт Лайонс,ORI
Тузла,TZL
Перуджа,PEG
Сан Хосе,SJS
Каилуа-Кона,KOA
Сидней,SNY
Сан-Хуан,SJU
Боултилимит,OTL
Чеджу,CJU
Шимла,SLV
Балер,BQA
Санта-Мария,SMA
Котабанган,KOD
Коен,CUQ
Остров Святого Павла,SNP
Сабана Де Торрес,SNT
Кутраль Ко,CUT
Спрингфилд,SPI
Ауаса,AWA
Порт Бейли,KPY
Касьола,KTC
Сабана де ла Мар,SNX
Суанке,SOE
Уэйк-Айленд,AWK
Керанг,KRA
Наукити,NKI
Соломон,SOL
Абемама,AEA
Убе,UBJ
Санта-Крус-де-Ла-Пальма,SPC
Чиуауа,CUU
Давид,DAV
Форествилль,YFE
Гиллис Бэй,YGB
Босаасо,BSA
Кловис,CVN
Каллавей Гарденс,CWG
Сарх,SRH
Кенитра,NNA
Страхан,SRN
Даллас,DFW
Денис Айленд,DEI
Дефианс,DFI
Дерош,DES
Сурен,SXW
Дегабер,DGC
Санья,SYX
Атланта,ATL
Крестон,BCJ
Шэньчжэнь,SZX
Теофилу-Отони,TFL
,XUO
Дауго,DGG
Сукхотхай,THS
Дахран,DHA
Анцеранана,DIE
Керинчи,KRC
Афор,AFR
Тико,TKC
Андерсон,AND
Зырянка,ZKP
Тулиара,TLE
Кикори,KRI
Сиби,SBQ
Гагнон,YGA
Тимимун,TMX
оз. Пауэлл,WPL
Панджгур,PJG
Тринидад,TND
,NSZ
Пайлот Пойнт,PIP
Кащечтеван,ZKE
Аякучо,AYP
Корла,KRL
Тобольск,TOX
Конго Таун,COX
Амдерма,AMV
Туба,TOZ
Калчекатжара,DKV
Тривандрам,TRV
Форт Симпсон,YFS
Аиюра,AYU
Косипе,KSP
Кристиансанн,KRS
Амитивилль,AYZ
Тяньцзинь,TSN
Яасуру,KSX
Куйол,KUX
Апацинган,AZG
Тасикмалая,TSY
Кингстон,KIN
Тартагал,TTG
Байбара,BAP
Катукурунда,KTY
Бьюкенен,UCN
Тупиле,TUE
Кудат,KUD
Думаджи,DMD
Денисон,DNS
Тубала,TUW
Барнаул,BAX
Тобермори,TYP
Фангареи,WRE
Юнион Сити,UCY
Баканс,YZM
Каунас,KUN
Кугурурок Ривер,KUW
Барбелос,BAZ
Шай Гап,SGP
Юкайа,UKI
Карпатос,AOK
Кировск (Апатиты),KVK
Бенсон,BBB
Коро,KXF
Улясутай,ULZ
Саммит,UMM
Долпа,DOP
Эмбесса,EMS
Йонаго,YGJ
Баттамбанг,BBM
Каннур,CNN
Порт Элис,PTC
Бург-Ферштейн,URD
Андамука,ADO
Квинстаун,UTW
Хирст,YHF
Лидс,LBA
Биатрис,BIE
Сешелт,YHS
Остров Драммонд,DRE
По,PUP
Барбуда,BBQ
Лабреа,LBR
Дуранго,DRO
Понд-Инлет,YIO
Атенс,AHN
Дуглас,DUG
Пула,PUY
Йатли,BBS
Купарук,UUK
Лондрина,LDB
Увол,UVO
Берберати,BBT
Одате,ONJ
Ньяла,UYL
Плентивуд,PWD
,DUQ
Унайза,UZH
Ньюпорт,ONP
,XNV
Валье Гранде,VAH
Сила,SIL
Вангриенг,VGG
Замбези,BBZ
Лар,LHA
Айленд Лейк,YIV
Бербера,BBO
Джаспер-Хинтон,YJP
Лаббок,LBB
Белльвилль,BLV
Кангирсук,YKG
Рурренабаке,RBQ
Эйя,EIA
Колумбус,CUS
Эджвуд,EDG
Орам,RAX
Лимон,LMH
Лафорджес,YLF
Батна,BLJ
Моуз Джоу,YMJ
Линкольн,LNK
Марсабит,RBT
Валенсия,VLC
Вилья Хесель,VLG
Лос Таблонес,LOX
Актобе,AKX
Пихигуаос,LPJ
Бакэу,BCM
Витебск,VTB
Йилан,YLN
Бхадрапур,BDP
Лариса,LRA
Лосуиа,LSA
Лиф Рапидс,YLR
Батлер,BUM
Эдвардс,EDW
Биак,BIK
Тукума,TUZ
Занесвилл,ZZV
Элдед Рок,ERO
Вальедупар,VUP
,RME
Эгиджик,EGX
Владивосток,VVO
Порт Хоп Симпсон,YHA
Войенс,SKS
Ла-Кросс,LSE
Банджармасин,BDJ
Лос Чилес,LSL
Билдудалур,BIU
Кантчари,XKA
Беллависта,BLP
Бадин,BDN
Векшё,VXO
Терре-де-Хаус,LSS
Альбенга,ALL
Лисмор,LSY
Гадамес,LTD
Моба,BDV
Латроб,LTB
Уопетон,WAH
Блу Каньон,BLU
Эль-Уэд,ELU
Амбатундразака,WAM
Бора-Бора,BOB
,ZHE
Риека,RJK
Бетел,BET
Вейверни,WAN
Лоссимонт,LMO
Ваполу,WBC
Кеммерер,EMM
Кенай,ENA
Мерритт,YMB
Эниветок,ENT
Бейрут,BEY
Лувук,LUW
Бивер,WBQ
Энид,WDG
Пхонсаван,XKH
Лавертон,LVO
Виндхук,WDH
Апалачикола,AAF
Лоуренс,LWC
Гавана,UPB
Уипинг Уотер,EPG
Лоренсевилл,LWV
Уэйпа,WEI
Кесальтенанго,AAZ
Ванкувер,YVR
Сидней,SYD
Блу Фокс Бэй,BFB
Кавказ,CAQ
Эскель,EQS
Эва-Даунс,EVD
Форли,FRL
Лидвилл,LXV
Матарам,AMI
Камббеллпоре,CWP
Велком,WEL
Блумфилд,BFC
Мадрид,MAD
Уэйтанги,WGN
,DKA
Эрнабелла,ERB
Блэкуэлл,BWL
Саратога,SAA
Буллфрог Бейсин,BFG
Факатане,WHK
Маджуро,MAJ
Манчестер,MAN
Иу,YIW
Эр-Рашидия,ERH
Момбаса,MBA
Уолсей,WHS
Кейп Сент Джеймс,YCJ
Ванума,WNU
Ммабато,MBD
Остров Сентер,CWS
Вуд Ривер,WOD
Васиор,WSR
Вонкен,WOK
Албина,ABN
Поса-Рика,PAZ
Уайт Сэндс,WSD
Абердин,ABR
Пуэбла,PBC
Ширли,WSH
Аль-Баха,ABT
Рукумкот,RUK
Вест Энд,WTD
Марискаль Хосе Феликс Эстигаррибия,ESG
Санфебагар,FEB
Мидленд,MAF
Улусаба,ULX
Бингёль,BGG
Абуджа,ABV
Муданьцзян,MDG
Вильгельмсхафен,WVN
Вудворд,WWR
Крисиума,CCM
Гаг-Айленд,GAV
Ошен Сити,SBY
Карбондейл,MDH
о. Батерст,BRT
Запад Уайалонг,WWY
Ваньчжоу,WXN
Мадрас,MDJ
Аканди,ACD
Баттерворс,BWH
Сулако,SCD
Инанватан,INX
Бирдженд,XBJ
Мерседес,MDX
Бол,BWK
Салина Крус,SCX
оз. Гранвилл,XGL
Арика,ACM
Мэадвилль,MEJ
Илиманак,XIQ
Акунья,ACN
Саут-Бенд,SBN
Санднес,XKC
Гамбела,GMB
Балаково,BWO
Мерсед,MCE
Бонго,BGP
Блэрсвилл,BSI
Острова Моала,MFJ
Эстервилл,EST
Мангуна,MFO
Морехэд,MHY
Манитувадж,YMG
Брус Лагуна,BHG
Маннерс Крик,MFP
Бискра,BSK
Эксетер,EXT
Кадьяк,ADQ
Франсиско де Орельяна,OCC
Кемано,XKO
Лев,XLU
Сент-Эндрюс,ADX
Порту-ди-Мос,PTQ
Баде,BXD
Мьей,MGZ
Смит Поинт,SHU
Минлатон,XML
Махдла,MHA
Олдэйс,ADY
Бхойпур,BHP
Симферополь (Крым),SIP
Митчелл,MHE
Фару,FAO
Фейра-ди-Санта,FEC
Фокс Харбор,YFX
Батман,BAL
,XII
Осака,OSA
Пукатаваган,XPK
Фаскрудсфьордур,FAS
Флоренсия,FLA
Манхэттен,MHK
Аюн-эль-Атрус,AEO
Виктория,VTA
Скиен,SKE
Рим,ROM
оз. Юг Траут,ZFL
Комаягуа,XPL
Блуменау,BNU
Баунтифул,BTF
Маршалл,MHL
,XZB
Алта-Флореста,AFL
Сан-Фернандо,SFR
Джаффри,AFN
Сакраменто,SAC
Сент-Мэрис,XSM
Пунта Горда,PGD
Тара,XTR
Карлсруэ,FKB
Тоджиак,GFB
Баджханг,BJH
Залив Фолс,FLJ
Экнгопинг,XWQ
Агадир,AGA
Милденхолл,MHZ
,XQW
Сённерборг,SGD
Ажен,AGF
Кавалерово,KVR
Аль Тора,SOR
Сипитанг,SPT
Миннеаполис,MSP
Дэвис Инлет,YDI
Саутгемптон,SOU
Фаленберг,XYM
Форт Коллинс,FNL
Обре Лейк,YDW
Фоссил-Даунс,FSL
Стронсей,SOY
Вашабо,WSO
Баджура,BJU
Ямагата,GAJ
Сан-Лоренсу-ду-Сул,SQY
Хрутфонтейн,GFY
Бамага,ABM
Сан Педро,SPR
Гьоргур,GJR
Вакканай,WKJ
,ZEU
Брив-ла-Гайард,BVE
,SGR
Уайтривер,WTR
Катмай,BKF
Гелади,GLC
Учжоу,WUZ
Боке,BKJ
Гол,GLL
Манси,MIE
Кристинехамн,XYN
Клинтон Крик,YLM
Греймут,GMN
,QPV
Даргавилл,DGR
Чатем,XCM
Окатсут,XEO
Сехонгхонг,SHK
Ангун,AGN
Грейтер-Садбери,YSB
Нуук,GOH
Германстен,YGS
,ZEI
Нуланбеи,GOV
Гуапи,GPI
Иглулик,YGT
Магнолиа,AGO
Мадисон,XMD
Монаханс,MIF
Белага,BLG
Силвер-Сити,SVC
Мяньян,MIG
Блайт,BLH
Митчелл Плато,MIH
,ZLU
Алматы,ALA
Марилия,MII
Йеллоу Ривер,XYR
Братск,BTK
Хуакарайе,BVK
Сан Антонио,SVZ
Беверли,BVY
Маршолтаун,MIW
Понта-Гроса,PGZ
Миттиба-Крик,MIY
Сиддхартханагар,BWA
Мальта,MLA
Ыгдыр,IGD
Мушёэн,MJF
Агатти,AGX
,XOD
Мирамар,MJR
Бэ-Комо,YBC
Мал,MMV
Колумбус,CSG
Шарлоттаун,YHG
Малед Сити,MLD
Енисейск,EIE
Ераниум Сити,YBE
Морелия,MLM
Базель,EAP
Бронсон Крик,YBM
Маккавик,YMN
Мелилья,MLN
Миллисент,MLR
Сентралия,YCE
Элис Арм,ZAA
Андерсон,AID
Монровия,MLW
Ко-оп Поинт,YCP
Бельбурн,BXF
Малатья,MLX
Мамфе,MMF
Ситуэ,AKY
Юньчэн,YCU
Мурманск,MMK
Макини,MPG
Драйтон-Валли,YDC
Остров Мейн Дак,YDK
Атлантик,AIO
Мэрион,MNN
Быдгощ,BZG
Моа,MOA
Форт Северн,YER
,XLV
Аяччо,AJA
Мауджерия,MOM
Майнот,MOT
Тафтан,TFT
Драйден,YHD
Мапуту,MPM
Брайз-Нортон,BZZ
Анкан,AKA
Хорнипейн,YHN
Маунт Плезант,MPS
Толедо,TOL
Ничкон,YNI
Маунт Плезант,MPZ
Ганунг Батин,AKQ
Мидгард,MQG
Галифакс,YHZ
Кинкардин,YKD
Акрон,CAK
Му-и-Рана,MQN
Мостаганем,MQV
Клемту,YKT
Корнер-Брук,YNF
,ZAP
Мартинсберг,MRB
Акуре,AKR
Мариндуке,MRQ
Акротири,AKT
Алерт,YLT
Маврикий,MRU
Борден,YBN
Мисава,MSJ
Тангара де Сьерра,TGQ
Напакиак,WNA
Янбу,YNB
Масалембо,MSI
Уолла Уолла,ALW
Яндикоогина,YNN
Бутуан,BXU
Минск,MSQ
Матамата,MTA
Стэмфорд (жд-станция),ZTF
Малга Парк,MUP
Амбилоб,AMB
Мерри Айленд,YMR
Паранаваи,PVI
Ахмадабад,AMD
Мейтленд,MTL
Монреаль,YMQ
Рейнбоу Лейк,YOP
Анвик,ANV
Китсиссуарсуит,QJE
Кейстоун,QKS
Прага,PRG
Янъян,YNY
Молтри,MGR
Порту-Сегуру,BPS
Пис Ривер,YPE
Огоки,YOG
Лейксайд,LKS
Тандер-Бей,YQT
Хай Левел,YOJ
Йоханнесбург,JNB
Ангола,ANQ
Монровилл,MVC
Оттава,YOW
Сент Леонард,YSL
Макксвилл,MVH
Ранкин-Инлет,YRT
Пангниртанг,YXP
Валкатьер,YOY
Маунт Вернон,MVN
Айнсворт,ANW
Сен-Мартен,SFG
Никобар,CBD
Полатук,YPC
Винх Лонг,XVL
Саникилуак,YSK
Тарапака,TCD
Форт-Смит,YSM
Маунт Вернон,MVW
Пемброк,YTA
Мванза,MWZ
Арон,AON
Шеаруотер,YSX
Миндик,MXK
Алор-Сетар,AOR
Тамариндо,TNO
Тимбукту,TOM
Бендиго,BXG
Маллева,MXU
Аспен,ASE
Аоста,AOT
Квилпи,ULP
Тимминс,YTS
Стимбот Спрингс,SBS
Вади Аин,WDA
Марбл Каньон,MYH
,JHY
Сулайел,SLF
Мендес,MZD
Вабуш,YWK
Вава,YXZ
Ваджир,WJR
Римуски,YXK
Тронхейм,TRD
Манати,MZE
Су-Лукаут,YXL
Форт Чаффи,CCA
Пайн Поинт,YPP
Мансанильо,MZO
Буффало Рейндж,BFO
Дрейк-Бэй,DRK
Каанаак,NAQ
Виктория,YYJ
Нючёпинг,XWZ
Армстронг,YYW
Рединг,RDG
Слейв Лейк,YZH
Натал,NAT
Анако,AAO
Вальдивия,ZAL
,JHC
Тетиароа,TTI
Вермилен,YVG
Арекипа,AQP
Садо Шима,SDS
Набережные Челны (Нижнекамск),NBC
Басра,BSR
Анн Арбор,ARB
Чилдресс,CDS
Зе Пас,YQD
Баракома,VEV
Тайонк,TYE
Цзюцзян,ZBD
Ченега,NCN
Убруб,UBR
Найоро,NIX
Квебек,YQB
Мандере,NDE
Аруша,ARK
Гера,ZGA
Атбасар,ATX
Накина,YQN
Сандстон,NDS
Зиндер,ZND
,MTC
Белиз,BZE
Самныа,NEU
Пасир Гуаданг,ZLW
Экибастуз,EKB
Тиер,ZQF
Нагоя,NGO
Удайпур,UDR
Дубай,DXB
Арасатуба,ARU
Чжухай,ZUH
Утила,UII
Джорджтаун,ASI
Пенсакола,PNS
Нуэво-Ларедо,NLD
Миандривазо,ZVA
Сидней,YQY
Юмиат,UMT
Индор,IDR
Остин,ASQ
Бьютт,BTM
Родригес,RRG
Брошет,YBT
,CVO
Асунсьон,ASU
Кингс Каньон,KBJ
Резольют,YRB
Намутони,NNI
Джаспер,APT
Овекено Вилладж,YRN
Нейкнек,NNK
,XLY
Антлерс,ATE
Блок,BID
Булл Харбор,YBH
Акаба,AQJ
Калима,KLY
,LTS
Анст,UNT
Кадис,CDZ
Мабарума,USI
Ньюри,NRY
Нуси-Бе,NOS
Шуазёль,CHY
Уселесс Луп,USL
Улуру,AYQ
Кингсвилль,NQI
,ZYM
,XVV
Ки-Уэст,EYW
Агры,AJI
Кларксдейл,CKM
Мэйпорт,NRB
Милтон,NSE
Санс Сауси,YSI
Скон,NSO
,ZPL
Асьют,ATZ
Корумба,CMG
Нант,NTE
Белья Уньон,BUV
Хаттон,NUF
Наматанаи,ATN
Саммерсайд,YSU
Накуру,NUU
,CYW
Чи Мей,CMJ
Нову-Арипуан,NVP
Артижа,ATS
Стоелманс Эиланд,SMZ
Салима,LMB
Сачс Харбор,YSY
Сикет Портадж,YTD
Камигин,CGM
Квантико,NYG
Дженда Ууха,ETE
Куяба,CGB
Сан-Хосе,SJI
,XGP
Кострома,KMW
Истленд,ETN
,ZDZ
Стокгольм,STO
,ZIN
,FZO
Ванимо,VAI
Торн Бэй,KTB
,ZYO
Чалкиитзик,CIK
Сейняйоки,SJY
,XEW
Ситка,SIT
Хартли Бэй,YTB
Форест Парк,FOP
Какоал,OAL
Окичоби,OBE
Орукун,AUU
Сент-Луис,XLS
Киров,KVX
Ольборг,AAL
Алма,YTF
Иллоккортоормиут,OBY
,QHJ
Аумо,AUV
Оушенсайд,OCN
Трипл Айленд,YTI
Заболь,ACZ
,ZIL
Арагуаина,AUX
,ZPF
Фонте Боа,FBA
Уанда Джалле,ODJ
Охотск,OHO
Хумайта,HUW
Колорадо-Спрингс,COS
Камп Спрингс,ADW
Эль-Фуджайра,FJR
Чероки,CKA
Остров Лонг,LSJ
Террас Бэй,YTJ
Черкассы,CKC
Осеола,OEO
,RLR
Оконжа,OKN
,XOI
Оки,OKY
Сан-Висенти,VXE
,IVI
Вабаг,WAB
Фуэрте Олимпо,OLK
,ZHR
Альмерия,AMR
Кларкс Пойнт,CLP
Вабо,WAO
,PYK
Колумбус,OLU
Сан-Паулу-ди-Оливенса,OLC
Грэйт Баррингтон,GBR
Олив Бранч,OLV
Толедо,XTJ
Слитмут,SLQ
Ораньемунд,OMD
,CMM
,GGA
Мафрак,OMF
,XKK
Аттопеу,AOU
Омидийе,OMI
Хванге,WKI
Боуэ,BGB
Олни,ONY
Скотсблафф,BFF
Воненара,WOA
Оскалуза,OOA
,LKW
Руайян,RYN
,ZJL
Коста-Маркис,CQS
,XQT
Кума,OOM
Опелусас,OPL
Арапонгас,APX
Льейда,ILD
,ZLV
Касабланка,CAS
Сасстаун,SAZ
Вуди Вуди,WWI
,XMZ
Оран,ORA
Ауа,AUI
Запад Мемфис,AWM
,YMV
Орокуэ,ORC
Коцебу,OTZ
Огаста,AUG
Хайлиньнинг,XIN
Александрия,AXL
Орландо,ORL
Маданг,MAG
Оран,ORN
Кадал,CUG
Колораду-ду-Уэсти,CSW
,UKH
Ориндж-Уолк,ORZ
оз. Саутерн Индиан,XSI
Спринг Пойнт,AXP
,XUL
Арутуа,AXR
Эстерсунд,OSD
Ильеус,IOS
Тарум,XTO
Санто-Доминго,SDQ
Нягань,NYA
Венеция,VCE
Энгельхольм,AGH
Баку,BAK
Акуннаак,QCU
,ZOY
,QHX
Бобкинн Лейк,YBO
Сент-Винсент,SVD
Маинору,MIZ
,ZPD
Отьиваронго,OTJ
Йенкис,YEQ
